operations,productCode,parentProductCode,productName,productTypeId,productUsage,productType,catalogId,masterCatalogId,shortDescription,longDescription,price,salePrice,msrp,colorOptions,materialOptions,sizeOptions,brand,gift-wrap,manageStock,outOfStockBehavior,packageHeight_unit,packageHeight_value,packageWidth_unit,packageWidth_value,packageLength_unit,packageLength_value,packageWeight_unit,packageWeight_value,isTaxable,isActive,upc
create,PRD-001,,Nike AirFlex Running Shoes,2,Configurable,Fashion,1,1,,,12999,12999,10000,Green;Blue;Red,cotton;silk,S;M;L;XL,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000000
create,PRD-001-R-M-c,PRD-001,Nike AirFlex Running Shoes,2,Standard,Fashion,1,1,,,12999,12999,10000,Red,cotton,M,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000001
create,PRD-001-B-XL-c,PRD-001,Nike AirFlex Running Shoes,2,Standard,Fashion,1,1,,,12999,12999,10000,Blue,cotton,XL,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000002
create,PRD-001-B-S-s,PRD-001,Nike AirFlex Running Shoes,2,Standard,Fashion,1,1,,,12999,12999,10000,Blue,silk,S,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000003
create,PRD-001-R-S-s,PRD-001,Nike AirFlex Running Shoes,2,Standard,Fashion,1,1,,,12999,12999,10000,Red,silk,S,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000004
create,PRD-002,,Adidas StreetLite Sneakers,2,Configurable,Fashion,1,1,,,12999,12999,10000,Green;Blue;Red,cotton;silk,S;M;L;XL,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000005
create,PRD-002-B-L-c,PRD-002,Adidas StreetLite Sneakers,2,Standard,Fashion,1,1,,,12999,12999,10000,Blue,cotton,L,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000006
create,PRD-002-B-S-c,PRD-002,Adidas StreetLite Sneakers,2,Standard,Fashion,1,1,,,12999,12999,10000,Blue,cotton,S,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000007
create,PRD-002-R-S-s,PRD-002,Adidas StreetLite Sneakers,2,Standard,Fashion,1,1,,,12999,12999,10000,Red,silk,S,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000008
create,PRD-002-R-XL-s,PRD-002,Adidas StreetLite Sneakers,2,Standard,Fashion,1,1,,,12999,12999,10000,Red,silk,XL,Nike,yes;no,True,allowBackorder,in,1,in,1,in,1,lbs,1,True,True,100000000009
